ě pé 	il a pris
Yeso fɛ nɑ e gɔm bi pu gɑ: Gogo Yerusalɛm ka po lɔ m nə́ m̀. Po lɔ m nə po, bɑ m nə́ pó pɔ́.	Mais Jésus, se tournant vers elles, dit : Filles de Jérusalem, ne pleurez pas sur moi ; mais pleurez sur vous-mêmes et sur vos enfants.
Nə pa' mtyɛ'dzʉ wə sɔ̌' yə pu gɔ ghɔm gɑ: Mpuŋtsé bɑ mkíŋ pɑ jwǐ, ba pyə wap ka tsə, wap lə nə́ŋ núŋ pó a.	car voici, des jours viennent, dans lesquels on dira : Bienheureuses les stériles, et les ventres qui n’ont pas enfanté, et les mamelles qui n’ont pas nourri.
Pu gɔ la' pɑ ghɔm bi m kǔŋgo gɑ, po vʉtə nə pyə. Piŋ ghɔm bi pǒ mkuŋgo gɑ: Po tʉ̌m wɔk.	Alors ils se mettront à dire aux montagnes : Tombez sur nous ; et aux coteaux : Couvrez-nous.
Nə pa' a bɑ bi a a pɑ po'o nə ta' thə hwǐ, bɑ a gɔ sɔ' pɑ nə ta' thə yə̌mtə m gɑ kɑ?	car s’ils font ces choses au bois vert, que sera-t-il fait au bois sec ?
Pu lə lɑ̌ shɑ mghɛ ghə nwə cwəpuŋ pɑpʉə, nə gɔ nə zhwə wap pu a pu.	Et deux autres aussi, qui étaient des malfaiteurs, furent menés avec lui, pour être mis à mort.
Wap lə ko nə tsʉ' yə pu ŋkhe gɑ kəlo' thə mo a. Wap kam e thə bɛnyəpɛnyə ba mghɛ ghə nwə cwəpuŋ pɑpʉə. Mu' ghəŋ pu tʉɔ, mu' ghəŋ pu kwyap.	Et quand ils furent venus au lieu appelé Crâne, ils le crucifièrent là, et les malfaiteurs, l’un à la droite, l’autre à la gauche.
Yeso lə ghɔm gɑ: Ta lɑ mhɔ map shwyɛ' wap nə pa' wap ka zhyə́ ywə yə wap bɑwə gə a. Wap lə ghɔ m̌ nə ghaptə mdzə́ myə́, nə nthamnthuŋ.	Et Jésus dit : Père, pardonne-leur, car ils ne savent ce qu’ils font. Et ayant fait le partage de ses vêtements, ils tirèrent au sort.
Pɔmnəŋ lə tiŋnyə bɑ jɔ: Mtadyə pɑ gwi é bɑ gɔm gɑ: E lě bvɔk shɑ pɔ, e vɔk nɑ e, a pɑ yə e bɑ Mesia, Si a, bɑ Si ci e a.	Et le peuple se tenait là, regardant ; et les gouverneurs aussi se raillaient de lui [avec eux], disant : Il a sauvé les autres ; qu’il se sauve lui-même, si lui est le Christ, l’élu de Dieu.
Msəŋwi lə yəmtə́ é yap, dɑ cɔk mlu' sɔ' bəŋ é hɑ bi é gɔm gɑ:	Et les soldats aussi se moquaient de lui, s’approchant, et lui présentant du vinaigre,
O pɑ fo pɑ Yudea o vɔk thə́ nɑ o.	et disant : Si toi, tu es le roi des Juifs, sauve-toi toi-même.
Mu' ywə́ bvə və́ lə bɑ thə é bɑ pu və gɑ: E bɑ fo pɑ Yudea.	Et il y avait aussi au-dessus de lui un écriteau en lettres grecques, romaines, et hébraïques : Celui-ci est le roi des Juifs.
Mu' gə nwə cwəpuŋ yə pu lə kamtə wap pu a pu a lə yəmtə é yə́ gɑ: O tə bɑ Mesia a lə? Vɔk thə́ nɑ o, bɑ wɔk yɔk.	Et l’un des malfaiteurs qui étaient pendus* l’injuriait, disant : N’es-tu pas le Christ, toi ? Sauvetoi toi-même, et nous aussi.
Da' gɑ yə mu' cɔk e gɔm gɑ: O tə bwɔk Si a, wə yə o bɑwə jɔgo' pɑ pa' yʉ́ a?	Mais l’autre, répondant, le reprit, disant : Et tu ne crains pas Dieu, toi, car tu es sous le même jugement?
Yɔk pu gǒ' bɑ ǎ ku' nə pu. Pu bɑwə ŋkwi pɑ mcwɔ'fa' mɔk pu. Tə sɔ' m nə é, a bɑ e ka hɔ sɔmywə.	Et pour nous, nous y sommes justement ; car nous recevons ce que méritent les choses que nous avons commises : mais celui-ci n’a rien fait qui ne se dût faire.
E lə ghɔm bi Yeso gɑ: La' ŋkhamtə a nə tyɛ'dzʉ yə o gɔ sɔ' sɔ' pa' fo a.	Et il disait à Jésus : Souviens-toi de moi, Seigneur, quand tu viendras dans ton royaume.
Yeso pa' bi e gɑ: Kwa' nyənyɔ gɑ siŋ o gɑ tyɛ' ɔ, pu gɔ pɑ nthʉm Paradisi.	Et Jésus lui dit : En vérité, je te dis : Aujourd’hui tu seras avec moi dans le paradis.
Mɔkcʉ́ lə kǔ' dzʉ̌ so nə guŋ mtsʉ' awɛ dəmcǎ' tə gɔ ŋkhəm nə m nam tá.	Or il était environ la sixième heure ; et il y eut des ténèbres sur tout le pays* jusqu’à la neuvième heure.
Nam lə pǐ. A pɑ po'o dzə́ nə sam Dyə Si sɔnyə dəŋdəŋ.	et le soleil fut obscurci, et le voile du temple* se déchira par le milieu.
Yeso cwé tə thə́ gɔm gɑ: Tá a, gɑ̌ yap zhwenyə a nə bu mǔ. E lə ghɔm po'o pfʉ́.	Et Jésus, criant à haute voix, dit : Père ! entre tes mains je remets mon esprit. Et ayant dit cela, il expira.
Tadyə msəŋwi ŋkhə lə nə yɔ ywə yə a shyə a, gu'tə Si gɔm gɑ: kwa' nyənyɔ bɛ yəŋ kɑ bɑ mo dəŋdəŋ.	Et le centurion, voyant ce qui était arrivé, glorifia Dieu, disant : En vérité, cet homme était juste.
Guŋ pɔ awɛ pyə wap lə cu'tə bɑwə jɔ yəŋ nwə a, lə yɔ pa' a shyə a, bɑnyə bɑ dzɔp pu kəkɔp pu.	Et toutes les foules qui s’étaient assemblées à ce spectacle, ayant vu les choses qui étaient arrivées, s’en retournaient, frappant leurs poitrines.
Guŋ pɔ pyə wap lə bɑ wap zhyə́ Yeso a lə tiŋnyə gʉə sʉəsʉə ba pɑjwǐ pyə wap lə bɑ jʉm é tə fɑ Galilea bɑ de.	Et tous ceux de sa connaissance, et des femmes qui l’avaient accompagné depuis la Galilée, se tenaient loin, regardant ces choses.
A lə pɑ po'o mu' mo tso tsyə pɑ Yosɛp, bɑ mo cəcɑ̌ mghətso, bɑ mo pɑpuŋ, mo dəŋdəŋ sɔ́':	Et voici, un homme nommé Joseph, qui était conseiller, homme de bien et juste
Bɑ e la tə piŋ nwə mso pyə ba mfa' map. E lə bɑ yə Arimatea, tisuŋ pɑ Yudea. E lə bɑwə byap Nəfo Si.	(celui-ci ne s’était pas joint à leur conseil et à leur action), qui était d’Arimathée, ville des Juifs, et qui attendait, lui aussi, le royaume de Dieu
Bɛ bɔ lə ghɔ jɔ Pilato həŋtə gɑ é hɑ pfə Yeso bi e.	celui-ci, étant venu à Pilate, lui demanda le corps de Jésus.
E lə fi' é thə bɛnyəpɛnyə, dɑ mkam dzə dzʉmtə e jap e nthʉm sì bɑ pú təŋ yá nə wǔ gwɔ', bɑ pu la m nyəŋ sɔmmo nthʉm o.	Et l’ayant descendu, il l’enveloppa d’un linceul, et le* mit dans un sépulcre taillé dans le roc, où personne n’avait jamais été déposé.
Sabat lə bɑwə sɔ̌', a pɑ tyɛ'dzʉ nə nyaptə.	Et c’était le jour de la Préparation* et le crépuscule du sabbat.
Sabat lə bɑwə sɔ̌', a pɑ tyɛ'dzʉ nə nyaptə.	Et c’était le jour de la Préparation* et le crépuscule du sabbat.
Pɑjwǐ pyə wap pu a Yeso lə bɑ tə fɑ Galilea lə yap jʉm Yosɛp; wap lə yɔ thəsì biŋ jɔ pa' pu lə yap pfə Yeso nthʉm o a.	Et des femmes qui l’avaient accompagné depuis la Galilée, ayant suivi, regardèrent le sépulcre et comment son corps y avait été déposé.
Wap lə pɑnyə cwəlɔ, nyaptə mwɑ́ damnyəlamnyə; a pɑ Sabat, wap hwitə pa' mco' lə yap a.	Et s’en étant retournées, elles préparèrent des aromates et des parfums ; et, le sabbat, elles se tinrent en repos, selon le commandement*.
A lə pɑ̌ nə dəŋdzə tyɛ'dzʉ nə gapdzʉ, kwa' mɑfɔkdzʉ̌ pɑjwǐ bɔ ghɔ thəsì pu a mwɑ myə wap lə nyaptə a.	Or le premier jour de la semaine, de très grand matin, elles vinrent au sépulcre, apportant les aromates qu’elles avaient préparés.
Wap lə yɔ bɑ pu keŋnyə gwɔ' dzə thəsì.	Et elles trouvèrent la pierre roulée de devant le sépulcre.
wap ko nthʉm o, da'gɑ la' wap yɔ pfə Cyəpɔ Yeso.	Et étant entrées, elles ne trouvèrent pas le corps du seigneur Jésus.
Pa' nwə lə pɑ̌ shyə wap a, wap wuŋ nə yɔ jɔ pɔ pɑpʉə dzə pu bɑ wap kwa dzə dəŋnyələŋnyə.	Et il arriva, comme elles étaient en grande perplexité à ce sujet, que voici, deux hommes se trouvèrent avec elles, en vêtements éclatants de lumière.
Wap lə pwɔk shʉ m sǐ; da' gɑ pɔ bɔ ghɔm bi pu gɑ: Nwə kɑ po cəŋ mo nthʉɔ cəcɑ̌ mpfə pɔ́?	Et comme elles étaient épouvantées et baissaient le visage contre terre, ils leur dirent : Pourquoi cherchez-vous parmi les morts celui qui est vivant ?
E tə tsɔ' pɑ, é bɑ e yam. Po kamtə nthi pa' e lə nə gɔm bi po cwə yə e lə jɑ Galilea a.	Il n’est point ici, mais il est ressuscité. Souvenez-vous comment il vous parla quand il était encore en Galilée.
Pa' e lə gɔm gɑ: A puŋ gɑ pu hɑ Mú mo nə bǔ mghɛ bo, pu kwé e thə́ bɛnyəpɛnyə, e yám nə batə tyɛ'dzʉ yɑtá.	disant : Il faut que le fils de l’homme soit livré entre les mains des pécheurs, et qu’il soit crucifié, et qu’il ressuscite le troisième jour.
Wap lə kamtə mghɔm myə́.	Et elles se souvinrent de ses paroles.
Wap lə fɑ̌ thəsì cwəlɔ, siŋ guŋ ywə awɛ bi pɔ shwɔp yɑmu' mgham ba m bi guŋ pyə shɑ pɔ awɛ.	Et, laissant le sépulcre, elles s’en retournèrent et rapportèrent toutes ces choses aux onze et à tous les autres.
A lə bɑ Maria Makdala ba Yohana, bɑ Maria ma Yakop. Pyə shɑ mso pap lə ko siŋ mghɛ nthəm.	Or ce furent Marie de Magdala, et Jeanne, et Marie, la [mère] de Jacques, et les autres femmes avec elles, qui dirent ces choses aux apôtres.
Mghɔm bɔ lə pɑ nə mnyə́ map bɑwə hwə a tsə yɔjʉm, la' wap piŋ ywə yə pɑ jwǐ gɔm a.	Et leurs paroles semblèrent à leurs yeux comme des contes, et ils ne les crurent pas.
A lə pɑ po'o Pɛtrɔ lusi ŋkhʉdʉ gɔ thəsì bɔnyə jɔ pɑ mbak dzə́. Nə ghɔ nə yə ghəŋ nwə pɑ shyə é nə ywə yə a nthəm a.	Mais Pierre, s’étant levé, courut au sépulcre ; et, se baissant, il voit les linges là tout seuls ; et ils’en alla chez lui, s’étonnant de ce qui était arrivé.
A lə piŋ bɑ pɑ tyɛ'dzʉ bɔ, shɑ pɔ pɑpʉ̌ə cəcɑ̌ pu pɑ gɔ m nə mu' guŋ yə pu ŋkhe gɑ Emaʉs nə nthə́ jyə mnam mɑbʉə nə ghɔ Yerusalɛm.	Et voici, deux d’entre eux étaient ce même jour en chemin, pour aller à un village dont le nom était Emmaüs, éloigné de Jérusalem de soixante stades*.
Giŋ bɑ gɔm nwə nə mnwə bɔ myə a kɑ təm a cəcɑ̌ pu.	Et ils s’entretenaient ensemble de toutes ces choses qui étaient arrivées.
Pa' wap lə pɑ gɔm lə fəŋnyə́ a, Yeso pɑ kwa' yʉ́ lə kwyatə wap, pu a pu pɑ cʉ̌m jyə.	Et il arriva, comme ils s’entretenaient et raisonnaient ensemble, que Jésus lui-même, s’étant approché, se mit à marcher avec eux.
Da' gɑ bɑ mnyə map cɑnyə nə zhyə e.	Mais leurs yeux étaient retenus, de manière qu’ils ne le reconnurent pas.
E lə ghɔm bi pu gɑ: Yə po giŋ fəŋnyə dəŋ po'o a bɑ kɑ? A lə pɑ̌ po'o wap tiŋnyə bɑwə shʉ cwəpuŋ.	Et il leur dit : Quels sont ces discours que vous tenez entre vous en marchant, et vous êtes tristes?
Mu' mo nə pú, tsó tsyə́ pɑ Kleopas pa' bi e gɑ: Ja o da' mo yə e Yerusalɛm nə tyɛ'dzʉ yəŋ gɑ, bɑ e ka zhyə́ mnwə myə a shyə a lə?	Et l’un d’eux, dont le nom était Cléopas, répondant, lui dit : Est-ce que tu séjournes tout seul dans Jérusalem*, que tu ne saches pas les choses qui y sont arrivées ces jours-ci ?
E həŋtə wap gɑ: A kɑ? Wap pa' bi e gɑ: Nwə nə Yeso yə Nazarɛt yə e lə bɑ gɛ ghɔmnwə Si, bɑ e tʉɔ nə mfa' myə́, ba nə ghɔm tsyə dzə Si ba m dzə guŋ pɔ awɛ	Et il leur dit : Lesquelles ? Et ils lui dirent : Celles touchant Jésus le Nazaréen, qui était un prophète puissant en œuvre et en parole devant Dieu et devant tout le peuple ;
Bɑ pyə lə́ bɑwə ŋkwɛ gɑ e lə bɑ mo yə e lə́ bɑ gɔ kwi Israɛl a. A piŋ bɑ po'o bɑ pa' mnwə bɔ təm a a cwəlɔ mtyɛ'dzʉ mɑntha'	Or nous, nous espérions qu’il était celui qui doit délivrer Israël ; mais encore, avec tout cela, c’est aujourd’hui le troisième jour depuis que ces choses sont arrivées.
bɑ shɑ pɑjwǐ pyə pyə a pu bɑ a kě sɔlam tsɔk, nə pa' wap kɑ ghɔ thəsì mɑfɔkdzʉ̌	Mais aussi quelques femmes d’entre nous nous ont fort étonnés ; ayant été de grand matin au sépulcre
biŋ ŋkho wap lə yɔ pfə e, sɔ' gɔm gɑ pɑ aŋgəle ŋwak bi pu, gɔm bi pu gɑ e bɑ pɑwə.	et n’ayant pas trouvé son corps, elles sont venues, disant qu’elles avaient vu aussi une visiond’anges qui disent qu’il est vivant.
Shɑ mso pɔk kɑ ghɔ yap thəsì, ŋkho jɔ ywə yə pɑjwǐ kɑ ghɔm a a pɑ́ nyənyɔ da' gɑ la' wap yɔ e.	Et quelques-uns de ceux qui sont avec nous, sont allés au sépulcre, et ont trouvé [les choses] ainsi que les femmes aussi avaient dit ; mais pour lui, ils ne l’ont point vu.
Yeso ghɔm bi pu gɑ: Pɑ tə ghə zhyənwə, tʉ̌m bɑ́ ǎ tsonyə nə piŋ nwə yə mghɛ ghɔm ghɔ̀m Si lə ghɔm a!	Et lui leur dit : Ô gens sans intelligence et lents de cœur à croire toutes les choses que les prophètes ont dites !
E lə nə ghɔm po'o da'tə bu myə́ pu a mkwə myə́ bi pu.	Et en disant cela, il leur montra ses mains et ses pieds.
Pa' ŋwɛnyə lə́ bɑ nə pu tə la' wap wuŋ biŋ a, nwə yɑwə shyə wap cyə a, e lɑ ghɔm bi pu gɑ: Po ghə ywə pfɑpfɑ̀ si tsɔ' a?	Et comme, de joie, ils ne croyaient pas encore et s’étonnaient, il leur dit : Avez-vous ici quelque chose à manger ?
Wap lə hɑ po' bapgu nthoto bi e,	Et ils lui donnèrent un morceau de poisson cuit et [quelque peu] d’un rayon de miel;
e lə kwǐ pfɑ pɑ dzə̌ pu.	et l’ayant pris, il en mangea devant eux.
Biŋ gɔm bi pu gɑ: Yə̌ŋ bɑ ywə yə ŋ də ghɔm bi po cwə yə pɑ lə bəmtə bɑ a: Ywə yə pu lə və nə m̀ nthʉm mco' Mosɛ, nthʉm ŋwa'nyə mghɔm ghɔm Si, ba nthʉm mzhwɔp dɔlɔ̌ a pəmtə.	Et il leur dit : Ce sont ici les paroles que je vous disais quand j’étais encore avec vous, qu’il fallait que toutes les choses qui sont écrites de moi dans la loi de Moïse, et dans les prophètes, et dans les psaumes, fussent accomplies.
A lə pɑ po'o e ghyɛ' zhyə̌nwə yap nə́ nə̀ ju' ywə yə pu lə və a.	Alors il leur ouvrit l’intelligence pour entendre les écritures.
Biŋ gɔm bi pu gɑ: A bɑ pa' pu lə və a: Kristo gɔ sɔ' yɔgo', yam nə vʉ nə batə tyɛ'dzʉ yɑtá.	Et il leur dit : Il est ainsi écrit ; et ainsi il fallait que le Christ souffrît, et qu’il ressuscitât d’entre les morts le troisième jour.
Pu pɑ dɑ tso tsyə́ gɔm nwə pʉɔtʉm ba nwə nə lɑ mhɔnwə pɔmnəŋ shwyɛ' wap bi guŋ mguŋ awɛ tə ntho' fɑ Yerusalɛm.	et que la repentance et la rémission des péchés fussent prêchées en son nom à toutes les nations, en commençant par Jérusalem.
Po nə̌ŋ bɑ mkwinthɛ nə.	Et vous, vous êtes témoins de ces choses;
Kristo la tə bɑ gɔ yɔgo' po'o tə ko nə ghu'tə e a?	Ne fallait-il pas que le Christ souffrît ces choses, et qu’il entrât dans sa gloire ?
E lə piŋ ntho' nə Mosɛ, ba nə guŋ mghɛ ghɔm ghɔ̀m Si awɛ, bɑ nthutə ywə yə a lə bɑwə dé e a nthʉm gùŋ Mŋwa'nyə awɛ.	Et commençant par Moïse et par tous les prophètes, il leur expliquait, dans toutes les écritures, les choses qui le regardent.
Wap lə ghɔ̌ tə bɑ ŋkhəm bəŋ guŋ yə wap lə gɔ m nə a, Yeso ghə pa' e shyəcyə a.	Et ils approchèrent du village où ils allaient ; et lui, il fit comme s’il allait plus loin.
wap cwyɛ'nyə gɔm gɑ: Pɑ cwə, nə pa' bwadzʉ wə sɔ̌', bɑ ya'dzʉ̌ cyə. E lə ko nthʉm tisuŋ bɔ nə cwə.	Et ils le forcèrent, disant : Demeure avec nous, car le soir approche et le jour a baissé. Et il entra pour rester avec eux.
Cwə yə pu a pu lə pɑ tɑpe a, e pé msɛ, nyəŋ byanyə nə, bo' hɑ bi pu.	Et il arriva que, comme il était à table avec eux, il prit le pain et il bénit ; et l’ayant rompu, il le leur distribua.
Mnyə map ghyɛ', wap piŋ jyə́ e, e wuŋ bi dzə̌ pú.	Et leurs yeux furent ouverts, et ils le reconnurent ; mais lui devint invisible [et disparut] de devant eux.
Wap ghɔm cəcɑ̌ pu gɑ: Tʉm tsɔk pu katə bɑwə ŋkhə nthʉm o məjyə cwə yə e la' bɑwə nthútə ŋwa'nyə bi pu a?	Et ils dirent entre eux : Notre cœur ne brûlait-il pas au dedans de nous, lorsqu’il nous parlait parle chemin, et lorsqu’il nous ouvrait les écritures ?
Wap lə wuŋ gɔ pɑ cwə o bɔ, bɑnyə Yerusalɛm jɔ pyə shɑ pɔ shwɔp yɑ mu' mgham, bɑ wap cu'tə pu a pyə shɑ mso pap.	Et se levant à l’heure même, ils s’en retournèrent à Jérusalem, et trouvèrent assemblés les onze et ceux qui étaient avec eux.
wap ghɔm bi pu gɑ: A bɑ nyənyɔ, Cyəpɔ bɑ e yam nə vʉ̌, nə pa' a bɑ e ŋwak bi.	Simon disant: Le Seigneur est réellement ressuscité, et il est apparu à Simon.
Wap piŋ siŋ wap yap ywə yə a la' shyə məjyə a, ba pa' e la' bo' msɛ wap zhyə́ e a. Yeso ŋwak bi pɔ shwɔp yɑmu' mghǎm.	Et ils racontèrent les choses qui étaient arrivées en chemin, et comment il s’était fait connaître à eux dans la fraction du pain.
Wap lə pɑ̌ gɔm po'o, kwa' yʉ́ ŋwak bi pu gɔm gɑ: Hwitə pɑ́ bi po.	Et comme ils disaient ces choses, il se trouva lui-même là au milieu d’eux, et leur dit : Paix vous soit!
Wap cwɔ', ŋkwɛ gɑ wap yɔ ghɛnyə́ mo.	Et eux, tout effrayés et remplis de crainte, croyaient voir un esprit.
E ghɔm bi pu gɑ: Nwə kɑ́ nwə va' wɔ̌? Nwə kɑ po kwɛ yɑ nthi nwə nthʉm tʉm pǒ?	Et il leur dit : Pourquoi êtes-vous troublés, et pourquoi monte-t-il des pensées dans vos cœurs?
Po yɔ bu mə̌ pu a mkwə mə̌. A bɑ pɑ kwa' myə̀. Po kwak a, po le a tə́ jɔ, zhwenyə tə bɑ ě ghə bapnɑ pu a mkwě pa' po wə jɔ bɑ gɑ̌ ghə a pɑ́.	Voyez mes mains et mes pieds ; — que c’est moi-même : touchez-moi, et voyez ; car un esprit n’a pas de la chair et des os, comme vous voyez que j’ai.
Sɔ' m nə m, gɑ gɔ təm ywə yə Tá a lə ka'nyə a bi po. Sɔ' m nə po, po cwə pɑ nthʉm tisuŋ tɑ̌ tʉɔ fɑ́ thə́ kɛbəŋ ŋkho nə po.	et voici, moi, j’envoie sur vous la promesse de mon Père. Mais vous, demeurez dans la ville, jusqu’à ce que vous soyez revêtus de puissance d’en haut.
E lə lɑ̌ wap gɔ tə ŋkho Betanya, bʉ' bu myə́ thə́, nyəŋ byanyə nə pu.	Et il les mena dehors jusqu’à Béthanie, et, levant ses mains en haut, il les bénit.
Cwə yə e lə pɑ nyəŋ byanyə nə pu a, hap nə pu, ŋkwɔ' m kɛbəŋ.	Et il arriva qu’en les bénissant, il fut séparé* d’eux, et fut élevé dans le ciel.
Sɔ' m nə pu, cwə yə wap lə ghamtə e a, bɑnyə m Yerusalɛm, nthʉm ŋwɛnyə.	Et eux, lui ayant rendu hommage, s’en retournèrent à Jérusalem avec une grande joie.
Wap lə biŋ bɑ guŋ mcwə awɛ bɑ pɑ Dyə Si bɑ gamtə Si.	Et ils étaient continuellement dans le temple, louant et bénissant Dieu.
Myə Polo, bɑ gɛ nthə̌m, la' bɑ gɛ nthə̌m pɔmnəŋ kɑ yə mu' mo pɑ́. Gɑ̌ bɑ́ gɛ nthə̌m m nə Yeso Kristo pú Si Tá yə é lə yam e nə vʉ̌ a	Paul,napôtre, non de la part des hommes, ni par l’homme, mais par Jésus Christ, et Dieu le Père qui l’a ressuscité d’entre les morts,
pyə a guŋ mfɑ̌mfɑ́ pyə́ pyə a pú bɑ a, bi mcu'tə pɔ Kristo myə́ ǎ Galata a	et tous les frères qui sont avec moi, aux assemblées de la Galatie:
Gho' pú hwitə pɑ́ bi po shyə́ m nə Si, Tá yɔk pɑ, bɑ m nə Cyəpɔ Yeso Kristo,	Grâce et paix à vous, de la part de Dieu le Père et de notre seigneur Jésus Christ,
yʉ́ yə e lə hɑ̌ thə́ nɑ e nə́ mhɔ mɔk pɑ, tə́ nə ŋkwi wɔk pɑ bi yəŋ dzʉ́ cwəpuŋ a, dəŋdəŋ pa' Si yə e bɑ Tá yɔk pɑ á shəŋ a.	qui s’est donné lui-même pour nos péchés, en sorte qu’il nous retirât du présent siècle mauvais, selon la volonté de notre Dieu et Père,
Ghu'tə pɑ́ bi e nə mgu' nə gu'. Amɛn. Cuŋ pɑpúŋ wə pɑ Galata	auquel soit* la gloire aux siècles des siècles! Amen.
Nwə̌ zhʉm á nə nthi pa' po nə nthəm nə mo yə e lə kě wɔ shyə m nə gho' Kristo, nthəm po'o gɔ m nə mu' Cuŋ pɑpúŋ a.	Je m’étonne de ce que vous passez si promptement de celui qui vous a appelés par la grâce de Christ, à un évangile différent,
A tə́ bɑ m gɑ́ mu' Cuŋ pɑpúŋ bɑwə pɑ́; da' gɑ shɑ́ pɔ bɑ cəcɑ̌ po bɑwə má' và' biŋ bɑwə shə́ŋ nə́ kwyəpnyə́ Cuŋ pɑpúŋ Kristo.	qui n’en est pas un autre; mais il y a des gens qui vous troublent, et qui veulent pervertir l’évangile du Christ.
Da' gɑ mu' mo, kə nə pyə́, kə aŋgəle fɑ kɛbəŋ lə́ siŋ wɔ́ mu' Cuŋ pɑpúŋ, tə́ a bɑ́ yə pyə lə́ sǐŋ wɔ a, bɑ dǒ thə́ e!	Mais quand nous-mêmes, ou quand un ange venu du ciel vous évangéliserait outre ce que nous vous avons évangélisé, qu’il soit anathème.
Pyə lě da' gɔ̌m, bìŋ ŋkwi' bɑwə gɔm cwəlɔ gɑ mo siŋ wɔ mu' Cuŋ pɑpuŋ tə a bɑ yə po lə la' ju' a bɑ dǒ thə́ e!	Comme nous l’avons déjà dit, maintenant aussi je le dis encore : si quelqu’un vous évangélise outre ce que vous avez reçu, qu’il soit anathème*.
Nə pa' cwəlɔ, gɑ̌ shəŋ pɑ́ nə puŋ pɔmnəŋ kɑ nə́ púŋ Si? Gɑ̌ shəŋ nə puŋ pɔmnəŋ a? Ŋ də pe' bɑ shəŋ pɑ́ nə́ puŋ pɔmnəŋ bɑ ŋ tə́ jɑ gɛfa' Kristo pɑ. Nə́ ghə pu zhyə́ Mu Si, ba mfa' Polo	Car maintenant, est-ce que je m’applique à satisfaire des hommes, ou Dieu ? Ou est-ce que je cherche à complaire à des hommes ? Si je complaisais encore à des hommes, je ne serais pas esclave de Christ.
Nə pa' gɑ̌ wə́ siŋ wɔ mfɑ̌mfɑ́ gɑ́ Cuŋ pɑpúŋ yə gɑ̌ siŋ wɔ a, a tə́ fɑ m bi monəŋthə́ pɑ́,	Or je vous fais savoir, frères, que l’évangile qui a été annoncé par moi n’est pas selon l’homme.
bɑ pu lá tə nəŋ shyə́ m nə mo tə ji'tə a kə tə́ hɑ bəm pɑ́; Yeso Kristo nə́ gə tə́ myə zhyə́.	Car moi, je ne l’ai pas reçu de l’homme non plus, ni appris, mais par la révélation de Jésus Christ.
Nə pa' po lə yǔ' pu ghɔmnwə nə tsɑ̀ ghiŋ pa' ŋ də nə gə́ nə nə́ piŋ pɑ Yudea a: nthi pa' ŋ də lɑ Cu'tə pɔ Si jɔgo' biŋ bɑ shəŋ nə sa'tə yá a.	Car vous avez ouï dire [quelle a été] autrefois ma conduite dans le judaïsme, comment je persécutais outre mesure l’assemblée de Dieu et la dévastais,
Ŋ də dɑ yɑ́ nə piŋ pa' pɑ Yudea biŋ a, nə gɔ pɑ́ dzə̀, tə shyə bo'gwyə ŋkhɛ yɔk ba pɔ nə gwya yɔk nə nə́ səŋnyə nə kyəp ma mtá pɑ̌ a.	et comment j’avançais dans le judaïsme plus que plusieurs de ceux de mon âge dans ma nation, étant le plus ardent zélateur des traditions de mes pères.
Da' gɑ mo yə́ e lə ci a tə jɑ vǎm ma á, e gho' a á lə cwə̌ tə jɔ gɑ́ a puŋ gɑ́	Mais quand il plut à Dieu, qui* m’a mis à part dès le ventre de ma mère et qui m’a appelé par sa grâce
e ghə ŋ jyə́ Mu é, po'o gɑ siŋ e bi pɑ tə́ pɑ́ pɑ Yudea, ŋ gúŋ dusi, tə hə̌ŋtə nthɔk monəŋthə́ pɑ́,	de révéler son Fils en moi, afin que je l’annonçasse* parmi les nations, aussitôt, je ne pris pas conseil de la chair ni du sang,
la' nəŋ bʉɔ Yerusalɛm bəŋ pɔ pyə́ wap lə bɑ mghɛ nthəm m dzə̌ m̀ a pɑ́. Ŋ də ghɔ Arabya, biŋ bɑnyə Damasi.	ni ne montai à Jérusalem vers ceux qui étaient apôtres avant moi, mais je m’en allai en Arabie, et je retournai de nouveau à Damas.
A lə pǐŋ nə cyə́ gu' tá ŋ bʉɔ gɔ Yerusalɛm nə yɔ Kefas. Ŋ dɑ́ pǐŋ shwə́ bəŋ e tyɛ' shwɔp tɔ mghǎm	Puis, trois ans après, je montai à Jérusalem pour faire la connaissance de Céphas*, et je demeurai chez lui quinze jours;
tə yɔ sɔm gɛ nthə̌m tə́ ně da' Yakop fɑ́ Cyəpɔ.	et je ne vis aucun autre des apôtres, sinon Jacques le frère du Seigneur.
Ywə yə gɑ̌ bvə bi po a, gɑ̌ wə gɔm po'o dzə̌ Si, a tə́ bɑ cwanwə pɑ̀.	Or dans les choses que je vous écris, voici, devant Dieu, je ne mens point.
Ŋ də pǐŋ gɔ nə ghə̌ŋ mgùŋ Siria ba m̀ Kilikia.	Ensuite j’allai dans les pays de Syrie et de Cilicie.
Da' gɑ a lə́ bɑ mcu'tə pɔ Kristo Yudea ka zhyə́ sə a pɑ́.,	Or j’étais inconnu de visage aux assemblées de la Judée qui sont en Christ
Wap lə bɑ wap yu' yap da' pa' pu gɔm gɑ: Mo yə e lə cwɔ'mkwə mɔk pɑ a cwəlɔ bɑwə siŋ piŋnthʉm yə e lə sa'tə cwə o bɔ a.	mais seulement elles entendaient dire: Celui qui nous persécutait autrefois, annonce* maintenant la foi qu’il détruisait jadis;
