Sen_fre ,Sen_gho
"Je jeûne deux fois la semaine, je donne la dîme de tout ce que je possède.",G?? shw? t? ts?? yw? mc?m b?? n? gapdz? bi? b? h? b?t? jy? gham n? ts?? tsa? bu.
"Ainsi, vous aussi, quand vous aurez fait toutes les choses qui vous ont été commandées, dites: Nous sommes des esclaves inutiles; ce que nous étions obligés de faire, nous l’avons fait.","B? w? y?, cw? y? po gh? gu? yw? aw? y? pu l? gh?m g? po gh? a, po gh?m g?: Py?? b? p?? sobo mgh? fa', py?? gh? p? yw? y? py? k? b? g? gh? a."
"Et il arriva qu’en allant à Jérusalem, il traversait la Samarie et la Galilée.","Yeso l? p? g? m Yerusal?m, shy? m Samaria pu Galilea. Yeso l? p? g? m Yerusal?m, shy? m Samaria pu Galilea."
"Or, étant interrogé par les pharisiens quand viendrait le royaume de Dieu, il leur répondit et dit: Le royaume de Dieu ne vient pas de manière à attirer l’attention ;",P? Farisai l? h??t? Yeso cw? y? N?fo Si g? s?' s?' a; e pa' bi pu g?: N?fo Si t? g? s?' s?' t? pu p? d? mny? j? a.
"et on ne dira pas : Voici, il est ici; ou, voilà, il est là. Car voici, le royaume de Dieu est au milieu de vous.","Pu t? g? s?' gh?m g?: A y?? g? b? m ts?' g? a, k? g??, a y?? g? b? mtsi'i g? a. N? pa' N?fo Si dz?? p? c?c?? po."
"Et il dit aux disciples : Les jours viendront où vous désirerez de voir l’un des jours du fils de l’homme, et vous ne le verrez pas.","E l? pi? g?m bi p?kh? py? g?: Cw?? w?? s??' y? po g? s?' ti' n? y? mu' ty?'dz? n? mty?'dz? Mú mo a, da' g? po l? y?."
"Et on vous dira: Voici, il est ici ; ou, voilà, il est là. N’y allez pas, et ne les suivez pas.","Pu g? s?' p? gh?m bi po g?: A m ts?'? g?, k? a m tsi' i g?: Ka po gh? ts?'u,"
"Car comme l’éclair qui brille, luit de l’un des côtés de dessous le ciel jusqu’à l’autre côté de dessous le ciel, ainsi sera le fils de l’homme en son jour.","d??d?? pa' p?pa' b?? ?w? k?b?? kwic??m n? gu? mgh?? dz?? aw? a, d??d?? pa' a g? s?' p? n? ty?'dz? Mu mo a."
"Et il lui dit: s’ils n’écoutent pas Moïse et les prophètes, ils ne seront pas persuadés non plus si quelqu’un ressuscitait d’entre les morts.","Abraham gh?m bi e g?: Wap p?? t? yu'shw? Mos? ba mgh?m gh?m Si, b? mo yam p? n? v?? b? wap t? g? p??t?m tsap p??."
Or il dit à ses disciples : Il est impossible qu’il n’arrive pas des scandales* ; mais malheur à celui par qui ils arrivent!,"Yeso gh?m bi p?kh?? py? g?: S?myw? y? bi a p? a k? yw? fa't? á a t?? w? p??, t? go?' b? bi mo y? a g? cy? m n? e a."
"Mieux lui vaudrait qu’on lui mît au cou une meule d’âne*, et qu’il fût jeté dans la mer, que descandaliser un de ces petits.","Dz?? bi mo b? g? pu c?? l?? nthu? e, ma' e nth?m shy? l?p??. Shy? pa' bi a p? e gh? mu' n? p?kh? p? g? v?? si a."
"Prenez garde à vous-mêmes. Si ton frère pèche, reprends-le, et s’il se repent, pardonne-lui;","Po p?mt?: f?? o h?nw? bu, o t?k e, bi a e kwy?pny? a, o l? mh? my?? n? shwy?' e."
"et si sept fois le jour il pèche contre toi, et que sept fois il retourne à toi, disant : Je me repens, tu lui pardonneras.","E h?nw? bu mc?m s?mb?? n? ty?'dz?, t? s?' dz? o kwy?pny? mc?m s?mb??, o l? mh? my?? shwy?' e."
"Et les voyant, il leur dit: Allez, montrez-vous aux sacrificateurs*. Et il arriva qu’en s’en allant ils furent rendus nets.","Yeso l? n? y? wap g?m bi pu g?: Po gh? da't? n? ts? bi mkamsi. Wap l? p?? g?, n? tsap l??."
"Or l’un d’entre eux, voyant qu’il était guéri, revint sur ses pas, glorifiant Dieu à haute voix ;","Mu' mo n? pu l? y? b? e? y?, b?ny? n? mkw? my??, gi? gu't? Si t?? th??,"
"et il se jeta sur sa face aux pieds de Jésus*, lui rendant grâces. Et c’était un Samaritain.","s?' bv? n? mkw? Yeso, pf?pt? s? é si go't? e; mo b? l? b? y? Samaria."
"Et Jésus, répondant, dit : Les dix n’ont-ils pas été rendus nets? Et les neuf, où sont-ils ?",A p?? po'o Yeso gh?m g?m g?: Gu? p? gham aw? ka y? a? Py? sh? p? v??' h??
"Il ne s’en est point trouvé qui soient revenus pour donner gloire à Dieu, si ce n’est cet étranger.","S?mmo ka t?m c?c?? pu s?' gu't? Si, t? ne? da' g?? y?? g?."
"Et il lui dit: Lève-toi, et t’en va; ta foi t’a guéri*.",Bi? g?m bi e g?: Lusi g?; Pi?nth?m o v?k o.
Et les apôtres dirent au Seigneur: Augmente-nous la foi.,Mgh? nth?m gh?m bi Cy?p? g?: Kwi' pi?nth?m y?k.
"Et le Seigneur dit: Si vous avez de la foi comme un grain de moutarde, vous diriez à ce mûrier: Déracine-toi, et plante-toi dans la mer; et il vous obéirait.",Cy?p? gh?m bi pu g?: Po la' g? pi?nth?m d?? ms?m s??k b? po gh??m bi ta' th?? y?? g? g??: Cw?' n? o g? nth??m shy? l?p??. B? a g? yu' shw? y?.
"Mais qui est celui d’entre vous, qui, ayant un esclave labourant ou paissant [le bétail], quand il revient des champs, dise: Avance-toi de suite et* mets-toi à table?","Wa? n? po y? e la g? ?kw? e, e p?? dz?'ne k? byap dz?? l?, b? cw? y? e f? pé a, é g? gh?m bi e g? s?' shw? d?m t?pe?"
"Ne lui dira-t-il pas au contraire: Apprête-moi à souper et ceins-toi, et me sers jusqu’à ce que j’aie mangé et bu; et après cela, tu mangeras et tu boiras, toi?","G??. E g? gh?m bi m g?: Nyapt? yw?ts? n? s?' h? b?m. Cw? y? g?? ts? yw? t? jwy? bi? nw?? a, o g? gh? ts? yu? cw?l?."
Est-il obligé à l’esclave de ce qu’il a fait ce qui avait été commandé? Je ne le pense pas.,E g? gho't? ?kw? e b? n? pa' e gh? yw? y? e g?m bi e a?
"Et comme il entrait dans un village, dix hommes lépreux le rencontrèrent; et ils s’arrêtèrent de loin;","E l? p? ?kho nth?m mu' gu?, sh? mgh? ka'pap p? gham s?' pu a pu yu't?, wap ti?ny? g?? s??s??."
"et ils élevèrent la voix, disant: Jésus, maître*, aie pitié de nous!","Shwé g?: Yeso ta, c?mmtso m??k."
"Et le publicain, se tenant loin, ne voulait même pas lever les yeux vers le ciel, mais se frappait la poitrine, disant : Ô Dieu, sois apaisé envers moi, pécheur*!","G? kwishw?p ti?ny? g?? s??s??, la' e zhy? b? n?? p?' mny? my?? de k?b??, d? mtso dz?p k?k?p e g?m g?: Si k? y?lu? n? m?, my?? g? mh?."
"Et on lui apporta aussi les petits enfants, afin qu’il les touchât ; et les disciples, le voyant, reprirent ceux [qui les apportaient].",Sh? p? l? l? ba po bwa n? s?' bi Yeso g? e yap bu n? pu. P?kh? py? l? n? y? po'o sh?kt? po b?.
"Mais Jésus, les ayant appelés, dit: Laissez venir à moi les petits enfants, et ne les en empêchez pas ; car à de tels* est le royaume de Dieu.","Da' g? Yeso gh? pu l? po bwa b? s??', e gh?m g?: Po tak po mk?c?k po wap s?' b?m, ka po k? bi pu; n? pa' N?fo Si b? y? p? py? wap hw?ny? wap a."
"En vérité, je vous dis: Quiconque ne recevra pas le royaume de Dieu comme un petit enfant, n’y entrera point.",Kwa' ny?ny? g?? si? w? g? mo y? e ka l? N?fo Si m pa' mú k?c?k mú a b? e t? g? s?' ko n? p?.
"Et un des chefs [du peuple] l’interrogea, disant: Bon maître, que faut-il que j’aie fait pour hériter de la vie éternelle?",Mu' ?khám bi? si l? h??t? Yeso g?: Tá p?pú? g?? g? gh? g? k? t? s?' kwi v?k mama a?
"Et Jésus lui dit : Pourquoi m’appelles-tu bon ? Nul n’est bon, sinon un [seul], Dieu.",Yeso gh?m bi e g?: Nw? k? o ke a g? mo p?pu?? S?mmo t? b? mo p?pu? p? t? ne? da' Si do e.
Tu sais les commandements: Ne commets point adultère; ne tue point; ne dérobe point; ne dis point de faux témoignage; honore ton père et ta mère.,O b? o zhy?? mco' g?: K? gh? ghap; k? zhw? mo; k? zh?; k? cwanw?; gh? mku' t? ? pu m? ?
Et il dit : J’ai gardé toutes ces choses dès ma jeunesse.,?kha?m b? pa' g?: ? d?? jy? mco' ba? t? f? mubwa?.
"Et quand Jésus eut entendu cela, il lui dit : Une* chose te manque encore : vends tout ce que tu as, et distribue-le aux pauvres, et tu auras un trésor dans les cieux ; et viens, suis-moi.","Yeso l? yu' po'o g?m bi e g?: A y??w? jak o ta' yw? y?mu': Fi? ts? tsy? o gh? a, gapt? bi mp???, bi? s?' jap j??m m?; o g? s?' gh? f?' k?b??."
"Et lui, ayant entendu ces choses, devint fort triste ; car il était extrêmement riche.","E l? n? yu' po'o s? e fi', n? pa' a l? b? e zhi té' o."
"Et Jésus, voyant qu’il était devenu fort triste, dit: Combien difficilement ceux qui ont des biens entreront-ils dans le royaume de Dieu!",Yeso y? e po'o g?m g?: N? ko n? N?fo Si b? a t?? té' bi mgh? yw?.
"Car il est plus facile qu’un chameau entre par un trou d’aiguille, qu’un riche n’entre dans le royaume de Dieu.",N? pa' a y?? bi kamelo n? tw?k n? fa? syap shy?? pa' bi a p? g? yw? ko n? N?fo Si a.
"Et ceux qui entendirent cela, dirent: Et qui peut être sauvé?",P? py? wap l? yu' a h??t? e g?: T?? a b? po'o w? gh? s?' v?k?
"Et il dit: Les choses qui sont impossibles aux hommes, sont possibles à Dieu.",Yeso pa' g?: Yw? y? a shy? p?mn?? a t? shy? Si p?!
"Et Pierre dit: Voici, nous avons tout quitté et nous t’avons suivi.","P?tr? gh?m g?: Y?, py? le? gwa' ts? ts?k aw? jap j?m o."
"Et il leur dit: En vérité, je vous dis, qu’il n’y a personne qui ait quitté maison, ou parents, ou frères, ou femme, ou enfants, pour l’amour du royaume de Dieu.","Yeso pa' bi pu g?: Kwa' ny?ny? g? gh?m bi po g?? s?mmo t?? w? y? e le gwa' la' tsy?, ba jwi e, b? po?mm?? py?, b? mta? pu a m??, b? po py? n?? N?fo Si."
"qui ne reçoive beaucoup plus en ce temps-ci, et, dans le siècle qui vient, la vie éternelle.","la' e gh? f?' cw?l? t? a y?m, pi? s?' cw? j?m ko n? v?k mama a p?."
"t prenant à lui les douze, il leur dit: Voici, nous montons à Jérusalem, et toutes les choses qui sont écrites par les prophètes touchant le fils de l’homme seront accomplies:","Yeso l? ke p? shw?pp?? mgham b?? e, g?m bi pu g?: Po yu', p? si po'o b?? m Yerusal?m; gu? mnw? aw? y? mgh?m gh??m Si l? v? n? Mu mo a, a p?mt?."
"car il sera livré aux nations; on se moquera de lui, et on l’injuriera, et on crachera contre lui;","Pu g? h? e bi p? t? p? p? Yudea, pu y?mt? e, d? e j?go', nth?t?? mti n? e."
"et après qu’ils l’auront fouetté, ils le mettront à mort ; et le troisième jour il ressuscitera.","Pi? cw? e, zhw? e, t?? a n? p? ty?'dz? y?tá e yam n? v??."
"Et ils ne comprirent rien de ces choses ; et cette parole leur était cachée, et ils ne comprirent* pas les choses qui étaient dites.","Yeso l? gh?m po'o la' p?kh? py? yu' kwa' p?pu?. Mgh?m b?? pa' b? a? t?mny?, wap l? p?w? jy? s?myw? n??."
"Et il arriva, lorsqu’il fut venu dans le voisinage de Jéricho, qu’un aveugle était assis sur le bord du chemin et mendiait.","Yeso l? n? k?m b?? Yeriko, mu' f? p? k?? m?jy? b? e cw?, b?w? do yw?."
"Et entendant la foule qui passait, il demanda ce que c’était.",F? b? l? yu' pa' p?mn?? w? shy? a h??t? yw? y? a b? ya a.
Et on lui rapporta que Jésus le Nazaréen passait.,Pu si? e g?: Yeso b?w? shy??.
"Et il cria, disant : Jésus, Fils de David, aie pitié de moi!",E cwe t? th?? g?: Yeso Mú David c?mmtso m??.
Et ceux qui allaient devant le reprirent afin qu’il se tût; mais il criait d’autant plus fort : Fils de David! aie pitié de moi.,P? py? wap l? b? dz?? e ? c?kt? e g? e l??t??; da' g? e pi? shwé t? th?? g?: Mu David c?mmtso m??.
"Et Jésus, s’étant arrêté, ordonna qu’on le lui amenât ; et comme il s’approchait, il l’interrogea, [disant]:","Yeso ti?ny?, g?m g? pu l? e s?' bi e. E l? k?m b?? e, e h??t? e g?:"
"Que veux-tu que je te fasse ? Et il dit : Seigneur, que je recouvre la vue.",O sh?? g? g? la m wu? E pa' bi e g?: Cy?p? g? j? ts?'.
"Et Jésus lui dit : Recouvre la vue, ta foi t’a guéri*.",Yeso gh?m bi é g?: Y? ts?'; pi?nth?m o v?k o.
"Et à l’instant il recouvra la vue et le suivit, glorifiant Dieu. Et tout le peuple, voyant cela, donna louange à Dieu.","Et à l’instant il recouvra la vue et le suivit, glorifiant Dieu. Et tout le peuple, voyant cela, donna louange à Dieu"
"Et il entra dans Jéricho, et traversa [la ville].","Yeso l? ko Yeriko, b? shy? tisu?."
"Et voici, un homme, appelé du nom de Zachée: et il était chef de publicains, et il était riche;","Mu' ta' mb? tso tsy? p? Sakio, b? g? kwishw?p, b? e zhi té' ?wak."
"et il cherchait à voir Jésus, quel il était ; et il ne pouvait, à cause de la foule, car il était petit de taille.","E l? b?w? sh??? n? y? Yeso, da' g? e l? ku' n? y? e n? pa' é l? b? tutu' mo, b? p?mn?? pi? j?m té' o."
"Et, courant en avant, il monta sur un sycomore pour le voir ; car il allait passer là.","E l? kh?d?? g? dz? ?kw?' n? sh?m th?. N? ts?' y? Yeso l?? b? g? cy? n? a, n? y? e."
"Et quand il fut venu à cet endroit, Jésus, regardant, le vit, et lui dit : Zachée, descends vite ; car il faut que je demeure aujourd’hui dans ta maison.","Yeso l? k?m ts?'u, b?' mny? my??, g?m bi e g?: Sakio fi' mg??'; n? pa' a w? sh?? g? shw? dy? o ty?' ?."
"Et il descendit à la hâte, et le reçut avec joie.","Sakio l? fi' mg??', ?w?ny?, pu e gh? la' e."
"Et voyant cela, tous murmuraient, disant qu’il était entré chez un pécheur pour y loger.","Pu l? n? y? po'o, ?khukú, g?m g?, e w? shw?? m yw? mo cw?pu?."
"Et Zachée, se tenant là, dit au Seigneur: Voici, Seigneur, je donne la moitié de mes biens aux pauvres ; et si j’ai fait tort à quelqu’un par une fauss accusation, je lui rends le quadruple.","Sakio l? n? y? po'o s?' b?? Cy?p? g?m g?: Cy?p? g? g? ghapt? ts? ts? n? gh? d??d?? jy? p??, h? ta' jy? bi mp???. Bi a p? b? g?? h?nw? bi mo, b? g? g? pa' bi e m c?m pf??."
"Et Jésus lui dit: Aujourd’hui [le] salut est venu* à cette maison, vu que lui aussi est fils d’Abraham;","A p? po'o Yeso gh?m bi e g?: Kwa' ty?' ? v?k ko n? y?? dy?, n? pa' ba mo y?? g? b? p? mu' mú Abraham."
car le fils de l’homme est venu chercher et sauver ce qui était perdu.,N? pa' Mu mo l? s?' n? c?? pi? v?k yw? y? a l? pi a.
"Et comme ils entendaient ces choses, il ajouta et [leur] dit une parabole, parce qu’il était près de Jérusalem, et qu’ils pensaient que le royaume de Dieu allait immédiatement paraître.","Pu l? p? nthé?mt?? n? nw? y? e l? b?w? g?m a, pa' pu a pu l? b? wap k?m b?? tisu? Yerusal?m a, pu p?w? ?kw? g? N?fo Si w? s?' a, e gh?m mu' gh?m t? tut? bi pu."
"Il dit donc: Un homme noble* s’en alla dans un pays éloigné, pour recevoir un royaume** et revenir.","g?m g?: Mu' mb? n? ?kh?ny? N?fo l? p? g? m n? mu' gu? g?? s??s?? pu h? N?fo bi e, t? e pi? b?ny? j?m."
"Et ayant appelé dix de ses propres esclaves, il leur donna dix mines, et leur dit : Trafiquez jusqu’à ce que je vienne.","E l? n? gh? ?khe sh? mco' py? p? gham su ntwa yap h? ts? b? gham b? gham bi pu, bi? g?m bi pu g?: Po gh? nth? ?khap ba t?? ? da' s??'."
"Or ses concitoyens* le haïssaient; et ils envoyèrent après lui une ambassade, disant: Nous ne voulons pas que celui-ci règne sur nous.",Da' g? p? gu? pu l? b?w? b? e. Wap l? t?m p? g? wap gh? g?m g?: Py? ka ku? g? e sa' w?k.
"Et il arriva, à son retour, après qu’il eut reçu le royaume*, qu’il commanda d’appeler auprès de lui ces esclaves auxquels il avait donné l’argent, afin qu’il sût combien chacun aurait gagné par son trafic.","Pu l? h? n?fo bi e, e pi? j?m, ?khe mco' py?? py? e l? h? ?khap bi pu a, n? zhy? pa' wap le n? nth? a."
"Et le premier se présenta, disant : Maître*, ta mine a produit dix mines.","D??dz? co' e l? s?' g?m g?: B?m my? o l? h? b?m a?, ts? ts?? b? gha?m."
"Et il lui dit: Bien, bon esclave, parce que tu as été fidèle en ce qui est très peu de chose, aie autorité sur dix villes.","E gh?m bi e g?: A pu? m co' fo p?pu?. Pa' o ke? b? ny?ny? n? muyw? yw?? á, g?? g? h? mtisu? gham bu o p? sa'."
"Et le second vint, disant : Maître, ta mine a produit cinq mines.","Bat? mo y?p?? l? s?' g?m bi e g?: Ta, b?m my? o l? h? b?m a ts?? ts? b? t?."
"Et il dit aussi à celui-ci : Et toi, sois [établi] sur cinq villes.",E gh?m bi e g?: Ba w? yu g? p? sa' mtisu? m?nth?.
"Et ils l’interrogèrent, disant : Maître, nous savons que tu dis et que tu enseignes justement, et que tu n’as point égard à l’apparence des personnes, mais que tu enseignes la voie de Dieu avec vérité.",Wap l? gh? g?m bi e g?: Ta py? zhy? g? gh?m tsu? ba nw? y? o da't? a b? d??d??. O b? ny?ny? n? gu? p? aw?. O da't? m?jy? Si ny?ny?.
"Nous est-il permis de payer le tribut à César, ou non?",A po'o bi a p? py? ma' shw?p bi kasa k? g???
"Et s’apercevant de leur perfidie, il leur dit : Pourquoi me tentez-vous?",Yeso l? zhy? yo' y? wap l? b? wap t?' n? e a g?m bi pú g?: Po la't? a b? ?kha?p. Wap la't? e.
"Montrez-moi un denier; de qui a-t-il l’image et l’inscription? Et répondant, ils dirent: De César.",E h??t? wap g?: Th?? mo ba yw? bv?v? y? a n? a b? y? w?? Wap pa' g? y? kasa.
"Et il leur dit: Rendez donc les choses de César à César, et les choses de Dieu à Dieu.","Yeso gh?m bi pú g?: Po pa' yw? kasa bi kasa, ba' y? Si bi Si."
"Et ils ne pouvaient le surprendre dans ses paroles devant le peuple; et étonnés de sa réponse, ils se turent.","Wap l? yu' po'o la' wap zhy? n? l? gh?m tsy? g?m e, nw? cy? wap, mshw? map c?."
"Et quelques-uns des sadducéens, qui nient qu’il y ait une résurrection, s’approchèrent, et l’interrogèrent.","Sh? p? Sadukai, p? py? wap g?m g? n? yam n? v?? t? b? w? a p? l? s?' yap b?? Yeso n? h??t? e sh? mnw?."
"disant: Maître, Moïse nous a écrit, que si le frère de quelqu’un meurt, ayant une femme, et qu’il meure sans enfants, son frère prenne la femme et suscite de la postérité* à son frère**.","Wap l? gh?m bi e g?: Ta, Mos? l? v? bi py? g?. Mb? p? b? e gh? mumap e y? mb? b? e l?mdy??, pf? t? ts? mú, e s?k npf?k e, pu e gh? y? gwya f? e b?."
"Il y avait donc sept frères; et le premier, ayant pris une femme, mourut sans enfants;","A n?? b? po'o b? mu' m?mjwi l? gh? pwab? s?mb??. D??dz? l?mdy? pf? t? ts??,"
et le second ,ba bat? y?p??
"et le troisième la prit, et de même aussi les sept: ils ne laissèrent pas d’enfants et moururent;",bat? y?tá s?k npf?k; p? po'o n? p? s?mb??; s?m l? n? pf? dz?? mú.
et après eux tous la femme aussi mourut.,Mjwi ti pf? y?.
"Dans la résurrection donc, duquel d’entre eux sera-t-elle la femme, car les sept l’ont eue pour femme?",Wap n?? mi? h??t? Yeso g?: A g? s?' p?? n? ty?' n? yam n? v?? mjwi? b? p? y? w? n? pú? N? pa' gu? yap s?mb?? l? l?m e dy?.
Et Jésus leur dit : Les fils de ce siècle* se marient et sont donnés en mariage;,"Yeso gh?m bi pu g?: P? py? wap b? m n? y?? w? dz? a, d?mdy?."
"mais ceux qui seront estimés dignes d’avoir part à ce siècle-là et à la résurrection d’entre les morts, ne se marient ni ne sont donnés en mariage.","Da' g? p? py? wap b? wap ku'ny? n? s?' b? n? y? w? dz? y? a g? t? s?' a, pi? p? ba m n? yam n? v?? a t? d?mdy? p?."
"car aussi ils ne peuvent plus mourir; car ils sont semblables aux anges, et ils sont fils de Dieu, étant fils de la résurrection.","V?? t? j? n? pu p?, n? pa' wap b? wap c?' m pá' p? a?g?le a, sh?' po Si, po? n? yam n? v??."
"Or que les morts ressuscitent, Moïse même l’a montré, au [titre] : «Du buisson», quand il appelle le *Seigneur : le Dieu d’Abraham, et le Dieu d’Isaac, et le Dieu de Jacob*.","N? pa' mpf?si g? s?' yam n? v??, n? pa' Mos? b? e le da't? yá n? cw? cu' mghé m?k t? kh? ts?' y? e ?khe Cy?p? g? Si Abraham, Si Isak, Si Yakop a."
"Or il n’est pas le Dieu des morts, mais des vivants; car pour lui tous vivent.","Si t? b? Si mpf? p? p?, e b? Si p?mt?? py? wap b? py? a."
"Et quelques-uns des scribes, répondant, dirent: Maître, tu as bien dit.",Sh? p? zhy?? mco' gh?m g?m g?: Ta o gh?m a pu?
Et ils n’osèrent plus l’interroger sur rien.,n? pa' wap la t? ku' n? pi? h??t? e s?myw? a.
"Et il arriva, l’un de ces jours*, comme il enseignait le peuple dans le temple et évangélisait, que les principaux sacrificateurs et les scribes survinrent avec les anciens.","A l? p? n? mu' ty?'dz? n? mty?'dz? my? e l? b?w? ji't? p?mn?? yw? Dy? Si b? si? wap Cu? p?pu? a, mtady? mkamsi pu a p? zhy? mco', ba mgh?tso ?wak."
"Et ils lui parlèrent, disant: Dis-nous par quelle autorité tu fais ces choses, ou qui est celui qui t’a donné cette autorité?","G?m bi e g?: Si? w?k t?? y? o n? g? m? mnw? a, k? mo y? e h? t?? b? bu a l?."
"Et répondant, il leur dit : Je vous demanderai, moi aussi, une chose, et dites-moi:",E gh?m bi pu g?: Ba my? g?? g? h??t? w? nw?:
"Le baptême de Jean était-il du ciel, ou des hommes?",Po si? a: Kwi?shy? Yohane l? f? m k?b?? k? bi p?mn???
"Et ils raisonnèrent entre eux, disant : Si nous disons : Du ciel, il dira : Pourquoi ne l’avez-vous pas cru?","Wap l? s? c?c?? pu g?: P? gh?m g? a l? f? m k?b??, b? e g? gh?m g?: t? nw? k? b? po le? t? pi? e?"
"Et si nous disons: Des hommes, tout le peuple nous lapidera, car il est persuadé que Jean était un prophète.","P? n?? g?m g? a l? f? m bi p?mn??, b? pu g? l? mw?' tamt? w?k p? n? pa' a b? pu zhy? g? Yohane l? b? g?m gh?m Si."
Et ils répondirent qu’ils ne savaient pas d’où [il était].,Wap l? pa' g? wap ka zhy? ts? y? a l? f? m n? a.
"Et Jésus leur dit: Moi non plus, je ne vous dis pas par quelle autorité je fais ces choses.",Yeso pi? g?m y?? bi pu g?: Bi a p?? ba my?? l? si? w? t?? y? g?? n? g? mnw? b? a.
"Et il se mit à dire au peuple cette parabole: Un homme planta une vigne, et la loua à des cultivateurs, et s’en alla hors du pays pour longtemps.","Yeso l? gh?m po'o bi? d? gh?m t? tut? g?m bi p?mn?? g?: Mu' mo l? ts?? mth? n? nu' mlu' pe e, jo' bi p? nu' mlu', nth?m nth?m gu? g? m n?? mu' ts?'."
"Et en la saison, il envoya un esclave aux cultivateurs, afin qu’ils lui donnassent du fruit de la vigne ; mais les cultivateurs, l’ayant battu, le renvoyèrent à vide.","Cw? l? ku'u e t?m mu' g?fa' e bi p? nu' mlu' g? e gh? kwi yw? y? a nth?m pe a. P? nu' mlu' l? ko shw? e, j?? e t? h? s?myw? bi e."
"Et il envoya encore un autre esclave ; mais l’ayant battu lui aussi, et l’ayant traité ignominieusement, ils le renvoyèrent à vide.","E l? pi? nth?m mu' g?fa' e bi pu. Wap ko ?kwi' shw? b? y??, j?mt? e, j?? e t? h? s?myw? bi e."
"Et il en envoya encore un troisième ; mais ils blessèrent aussi celui-ci, et le jetèrent dehors.","E l? pi? ?kwi' nth?m mu' mo bat? y?tá, wap ko bo' fi? n? e, t? j?? e."
"Et le maître de la vigne dit : Que ferai-je ? J’enverrai mon fils bien-aimé ; peut-être que, quand ils verront celui-ci, ils le respecteront.","G? pe? s? g?: G?? g? gh? g? k?? G?? g? t?m mú a y? g? ?khu? e té' a; ba? y??, wap g? ko gh? mku' my??."
"Mais quand les cultivateurs le virent, ils raisonnèrent entre eux, disant: Celui-ci est l’héritier tuons-le, afin que l’héritage soit à nous.","Da' g? p? nu' mlu' l? n? y? mú é s? c?c?? pu g?: E b? dz?dy??; p? zhw? e, a ts? mc??' c??' ts?k p?."
"Et l’ayant jeté hors de la vigne, ils le tuèrent. Que leur fera donc le maître de la vigne?","Wap l? l? e nth?m pé cw?l?, jw? e. G? pe g? po'o gh? m g? k? n? pú?"
"Il viendra et fera périr ces cultivateurs, et donnera la vigne à d’autres. Et l’ayant entendu, ils dirent : Qu’ainsi n’advienne!",E g? s?' s?' zhw?t? p? nu' mlu' b? py? a b? wap ka ku' n? s?myw? a; h? pe bi sh? p?. Wap l? n? yu' po'o g?m g?: Bi a l? p? pa' a
"Et lui, les regardant, dit : Qu’est-ce donc que ceci qui est écrit : «La pierre que ceux qui bâtissaient ont rejetée, celle-là est devenue la maîtresse pierre du coin»?","Yeso l? le? wap d??d??, h??t? wap g?: Gh?m ts? tsy? pu l? v? nth?m ?wa'ny? Si a nthut? g?? k??? Gw?' y? p? p?m pa' l? wa' a le? dí ji gw?' ph? pa'"
"Quiconque tombera sur cette pierre, sera brisé ; mais celui sur qui elle tombera, elle le broiera.","Ba? ya mo l? y? e v? n? gw?' b? a, g? po't? n?? e, mo y? gw?' b? v? n? e a, a tsa't? e."
"Et les principaux sacrificateurs et les scribes cherchèrent, en cette heure même, à mettre les mains sur lui ; et ils craignaient le peuple, car ils connurent qu’il avait dit cette parabole contre eux.","A l? p? po'o mtady? mkamsi pu a p? zhy?? mco' c?? n? gh?m e p? cw? o b?, da' g? bi? b?w? bw?k p?mn??. N? pa' a l? b? wap zhy? g? Yeso l? g?m gh?m t? tut? b? p? n?? pú."
"Et l’observant, ils envoyèrent des agents secrets, qui feignaient d’être justes, pour le surprendre en [quelque] parole, de manière à le livrer au magistrat et au pouvoir du gouverneur.","Wap l? to' n? na' Yeso, nth?m mju? g? wap gh? d??t? e d? p? gh?m tsy? n? g?m e, t? h? e bi p? sa' gu? pu a bi g?pna'."
"Et un autre vint, disant: Maître, voici ta mine, que j’ai gardée déposée dans un linge;",Y? mu' mo s?' g?m g?: Cy?p? y? ?khap o y???; g?? b? ? de? ?kw?? n? pak dz?? dw??';
"car je t’ai craint, parce que tu es un homme sévère: tu prends ce que tu n’as pas mis, et tu moissonnes ce que tu n’as pas semé.","n? pa' ? d? b?w? bw?k o, n? k?l? o b? mo sh?kc??k, b? d? yw? y? o ka yap a, d? yw? ts?' y? o le t? ts? yw? n? a."
"Il lui dit: Je te jugerai par ta propre parole*, méchant esclave: tu savais que moi je suis un homme sévère, prenant ce que je n’ai pas mis et moissonnant ce que je n’ai pas semé;","E gh?m bi e g?: G?fa' cw?pu? g? g? cy? p? n? gh?m tsu? t? gh?m o. O l? zhy? g?? g?? b? mo sh?kc??k; b? d? t? yap, d? t? ts?;"
"et pourquoi n’as-tu pas mis mon argent à la banque, et quand je serais venu je l’eusse retiré avec l’intérêt?",nw? k? b? o le? t?? ny?? ?khap a ba?k? B? ? d? g? p?ny? n? té b? a? ts??.
Et il dit à ceux qui étaient présents : Ôtez-lui la mine et donnez-la à celui qui a les dix mines.,"E l? pi? g?m bi p? py? pu a pu l? b? ts?'u a g?: Po kwi ?khap y? a bi a, h? bi mo y? e g? ts? gham a."
"Et ils lui dirent : Seigneur, il a dix mines.",Wap gh?m bi é g?: Cy?p? a b? e ts? gh? ts? gha?m.
